Trần_Nhân_Tông,Np,B-PER
(,F,O
1279,M,O
-,F,O
1293,M,O
),F,O
Con,Nc,B-ANP
trưởng,N,I-ANP
Thánh_Tông,Np,I-ANP
",",F,I-ANP
mẹ,N,I-ANP
là,V,I-ANP
Nguyên_Thánh_Thiên_Cảm_Hoàng,Np,I-ANP
thái_hậu,N,I-ANP
",",F,O
sinh,V,B-RHB
ngày,N,I-RHB
11,M,I-RHB
tháng,N,I-RHB
11,M,I-RHB
Mậu,Np,I-RHB
Ngọ,Np,I-RHB
-,F,I-RHB
1258,M,I-RHB
",",F,O
ngày,N,B-RTT
mồng,N,I-RTT
1,M,I-RTT
tháng,N,I-RTT
Giêng,Np,I-RTT
năm,N,I-RTT
Kỷ_Mão,Np,I-RTT
-,F,II-RTT
1279,M,I-RTT
lên_ngôi,V,B-RIA
Hoàng_đế,N,I-RIA
đổi,V,I-RIA
niên_hiệu,N,I-RIA
là,C,I-RIA
Thiệu_Bảo,Np,I-RIA
.,F,
Vua,Np,B-PER
Trần_Nhân_Tông,Np,I-PER
là,V,B-RHA
một,M,I-RHA
vị,Nc,I-RHA
vua,N,I-RHA
nhân,V,I-RHA
từ,E,I-RHA
",",F,I-RHA
hoà_nhã,N,I-RHA
",",F,I-RHA
cố_kết,N,I-RHA
lòng,N,I-RHA
dân,N,I-RHA
",",F,I-RHA
quyết_đoán,N,I-RHA
",",F,I-RHA
hết_lòng,V,I-RHA
vì,E,I-RHA
dân,N,I-RHA
vì,E,I-RHA
nước,N,I-RHA
trong,E,B-RTT
thời_gian,N,I-RTT
14,M,I-RTT
năm,N,I-RTT
ở,E,I-RTT
ngôi,Nc,I-RTT
khi,N,O
đất,N,O
nước,N,O
Đại_Việt_ta,V,B-DNT
trải,V,I-DNT
qua,V,I-DNT
hai,M,I-DNT
cuộc,Nc,I-DNT
kháng_chiến,V,I-DNT
chống,V,I-DNT
quân,N,I-DNT
xâm_lược,V,I-DNT
Nguyên,Np,I-DNT
Mông,Np,I-DNT
hùng_mạnh,A,I-DNT
nhất,A,I-DNT
thế_giới,N,I-DNT
thời,N,I-DNT
bấy_giờ,P,I-DNT
.,F,O